title,discounted_price,original_price,total_discount
SENS 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio & Google Assistant  (SENS32WASHD),"₹9,999","₹20,990",52% off
BeethoSOL 80 cm (32 inch) HD Ready LED TV  (LEDATBG32HDEK),"₹6,899","₹17,000",59% off
LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM565BPTA),"₹13,999","₹21,990",36% off
SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with Bezel-free Design  (UA32T4380AKXXL),"₹13,990","₹18,900",25% off
realme 80 cm (32 inch) HD Ready LED Smart Android TV  (TV 32),"₹11,999","₹17,999",33% off
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),"₹13,499","₹24,999",46% off
Infinix Y1 80 cm (32 inch) HD Ready LED Smart Linux TV with Wall Mount  (32Y1),"₹8,499","₹16,999",50% off
BeethoSOL 80 cm (32 inch) HD Ready LED Smart Android TV  (LEDSTVBG3285HD27-EK),"₹7,999","₹19,000",57% off
SENS 80 cm (32 inch) HD Ready LED Smart Linux TV with Dolby Audio  (32WCSHD),"₹6,999","₹19,990",64% off
iFFALCON by TCL 80.04 cm (32 inch) HD Ready LED Smart Android TV with Bezel-Less design & 24W Speaker  (iFF32S53),"₹9,999","₹19,990",49% off
BeethoSOL 108 cm (43 inch) Full HD LED Smart Android Based TV  (43BZ37),"₹14,599","₹49,990",70% off
MarQ by Flipkart 80 cm (32 inch) HD Ready LED TV  (32HDNDQEE1B),"₹7,399","₹17,000",56% off
Thomson Alpha 80 cm (32 inch) HD Ready LED Smart Linux TV with 30 W Sound Output & Bezel-Less Design  (32Alpha007BL),"₹8,499","₹14,999",43% off
OnePlus Y1S 80 cm (32 inch) HD Ready LED Smart Android TV with Android 11 and Bezel-Less Frame  (32HD2A00),"₹15,999","₹21,999",27% off
OnePlus Y1 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio  (32HA0A00),"₹14,999","₹19,999",25% off
realme 108 cm (43 inch) Full HD LED Smart Android TV with Android 11 - 2022 Model  (RMV2108),"₹22,999","₹35,999",36% off
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV  (A-3200S),"₹7,900","₹21,999",64% off
BITPRO 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV  (BP55TVAMH55),"₹30,990","₹51,990",40% off
iFFALCON by TCL U62 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with Bezel-Less Design and Dolby Audio  (iFF43U62),"₹19,999","₹49,990",59% off
Mi X Series 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision and 30W Dolby Audio (2022 Model),"₹28,999","₹42,999",32% off
BITPRO 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV  (BP43TVAMH),"₹23,990","₹34,990",31% off
Adsun Frameless 80 cm (32 inch) HD Ready LED TV  (Frameless A-3200F/N),"₹7,200","₹17,999",59% off
"acer I Series 80 cm (32 inch) HD Ready LED Smart Android TV with Android 11, 1.5GB RAM (2022 Model)  (AR32AR2841HDFL)","₹11,999","₹19,990",39% off
Coocaa 80 cm (32 inch) HD Ready LED Smart Coolita TV with Dolby Audio and Eye Care Technology  (32S3U-Pro),"₹7,999","₹36,990",78% off
